Attack_value,Mean Distance,Max_Distance,Min_Distance,Max_following_car_accel,Min_following_car_accel
102,-265.66884744700207,50.0,-1048.6370561831077,1.3937300443649292,-1.3539972305297852
103,-262.663797559187,50.0,-1040.889057256386,1.3937300443649292,-1.3539972305297852
104,-259.65874732066817,50.0,-1033.1410562957417,1.3937300443649292,-1.3539972305297852
105,-256.6536971171909,50.0,-1025.393056326604,1.3937300443649292,-1.3539972305297852
106,-253.6486470485819,50.0,-1017.6450562723013,1.3937300443649292,-1.3539972305297852
107,-250.64359711072402,50.0,-1009.8970566652255,1.3937300443649292,-1.3539972305297852
108,-247.638546634186,50.0,-1002.149056295024,1.3937300443649292,-1.3539972305297852
109,-244.63349676271443,50.0,-994.4010574835653,1.3937300443649292,-1.3539972305297852
110,-241.62844694034484,50.0,-986.6530577272316,1.3937300443649292,-1.3539972305297852
111,-238.62339633472618,50.0,-978.9050569984803,1.3937300443649292,-1.3539972305297852
112,-235.6183463411218,50.0,-971.1570569199001,1.3937300443649292,-1.3539972305297852
113,-232.61329602097845,50.0,-963.4090572226454,1.3937300443649292,-1.3539972305297852
114,-229.60824598839525,50.0,-955.661056589215,1.3937300443649292,-1.3539972305297852
115,-226.60319565894767,50.0,-947.9130563905402,1.3937300443649292,-1.3539972305297852
116,-223.59814530080143,50.0,-940.1650558633424,1.3937300443649292,-1.3539972305297852
117,-220.59309542983775,50.0,-932.4170558520419,1.3937300443649292,-1.3539972305297852
118,-217.58804490715087,50.0,-924.6690547161639,1.3937300443649292,-1.3539972305297852
119,-214.5829949967123,50.0,-916.921055657553,1.3937300443649292,-1.3539972305297852
120,-211.57794482450592,50.0,-909.1730552119406,1.3937300443649292,-1.3539972305297852
121,-208.5728946407161,50.0,-901.4250546945326,1.3937300443649292,-1.3539972305297852
122,-205.56784418124857,50.0,-893.6770537857523,1.3937300443649292,-1.3539972305297852
123,-202.56279407838596,50.0,-885.9290540746834,1.3937300443649292,-1.3539972305297852
124,-199.55774376720058,50.0,-878.1810537603491,1.3937300443649292,-1.3539972305297852
125,-196.55269321148867,50.0,-870.4330522483395,1.3937300443649292,-1.3539972305297852
126,-193.54764331505027,50.0,-862.6850525348017,1.3937300443649292,-1.3539972305297852
127,-190.54259309731412,50.0,-854.9370524702134,1.3937300443649292,-1.3539972305297852
128,-187.5375428376315,50.0,-847.1890522025966,1.3937300443649292,-1.3539972305297852
129,-184.53249269478275,50.0,-839.4410523114519,1.3937300443649292,-1.3539972305297852
130,-181.5274424396067,50.0,-831.6930520245656,1.3937300443649292,-1.3539972305297852
131,-178.52239215070333,50.0,-823.9450508704043,1.3937300443649292,-1.3539972305297852
132,-175.5173419423775,50.0,-816.1970506650283,1.3937300443649292,-1.3539972305297852
133,-172.5122918398124,50.0,-808.4490511598482,1.3937300443649292,-1.3539972305297852
134,-169.50724170968485,50.0,-800.7010509849162,1.3937300443649292,-1.3539972305297852
135,-166.5021914201547,50.0,-792.9530505583779,1.3937300443649292,-1.3539972305297852
136,-163.49714103682243,50.0,-785.205049828793,1.3937300443649292,-1.3539972305297852
137,-160.49209060921496,50.0,-777.4570485390838,1.3937300443649292,-1.3539972305297852
138,-157.48704033467186,50.0,-769.7090484986655,1.3937300443649292,-1.3539972305297852
139,-154.48199030596643,50.0,-761.9610485589325,1.3937300443649292,-1.3900704383850098
140,-151.47694006698873,50.0,-754.2130478685216,1.3937300443649292,-1.4300706386566162
141,-148.4718899738793,50.0,-746.4650483928677,1.3937300443649292,-1.4700706005096436
142,-145.4668394544884,50.0,-738.7170468066612,1.3937300443649292,-1.510070562362671
143,-142.46178956752917,50.0,-730.9690470579911,1.3937300443649292,-1.5500705242156982
144,-139.45673939690724,50.0,-723.2210473698561,1.3937300443649292,-1.5900704860687256
145,-136.4516890824314,50.0,-715.4730466358322,1.3937300443649292,-1.630070447921753
146,-133.4466390542479,50.0,-707.7250472909215,1.3937300443649292,-1.6700706481933594
147,-130.4415887569535,50.0,-699.9770460409746,1.3937300443649292,-1.7100706100463867
148,-127.43653856115583,50.0,-692.229045756514,1.3937300443649292,-1.750070571899414
149,-124.43148849407588,50.0,-684.4810462580386,1.3937300443649292,-1.7900705337524414
150,-121.42643797502899,50.0,-676.7330453200667,1.3937300443649292,-1.8300704956054688
151,-118.42138783132062,50.0,-668.9850457660963,1.3937300443649292,-1.870070457458496
152,-115.41633754828153,50.0,-661.2370446052747,1.3937300443649292,-1.9100706577301025
153,-112.41128722925264,50.0,-653.4890441781321,1.3937300443649292,-1.9500706195831299
154,-109.40623738734448,50.0,-645.7410452346747,1.3937300443649292,-1.9900705814361572
155,-106.40118709266798,51.02924519509088,-637.9930446671772,1.3937300443649292,-2.0300705432891846
156,-103.39613712951906,52.17378972308322,-630.2450454830713,1.3937300443649292,-2.070070505142212
157,-100.39108674375312,53.335140047247506,-622.4970440709598,1.3937300443649292,-2.1100704669952393
158,-97.386036275107,54.51357102823843,-614.7490433100102,1.3937300443649292,-2.1500706672668457
159,-94.38098596458993,55.70940045526797,-607.0010425928812,1.3937300443649292,-2.190070629119873
160,-91.37593578477856,56.922969746164085,-599.2530423542968,1.3937300443649292,-2.2300705909729004
161,-88.37088564895346,58.154673475849364,-591.5050421836426,1.3937300443649292,-2.2700705528259277
162,-85.36583553301652,59.4049617407635,-583.7570420973435,1.3937300443649292,-2.310070753097534
163,-82.36078515158542,60.67432872954919,-576.0090410859387,1.3937300443649292,-2.3500707149505615
164,-79.35573475492497,61.96335617977243,-568.26104132604,1.3937300443649292,-2.390070676803589
165,-76.3506842418182,63.272694297451466,-560.5130398862061,1.3937300443649292,-2.430070638656616
166,-73.34563423369171,64.60308853789303,-552.7650402727077,1.3937300443649292,-2.4700706005096436
167,-70.34058422325012,65.95540718275012,-545.0170401520187,1.3937300443649292,-2.510070562362671
168,-67.33553395529302,67.33066431521166,-537.2690403330279,1.3937300443649292,-2.5500707626342773
169,-64.3304834742354,68.73005463768409,-529.5210390065045,1.3937300443649292,-2.5900707244873047
170,-61.32543345115893,70.15501757648353,-521.7730386411015,1.3937300443649292,-2.630070686340332
171,-58.320383087497774,71.6072904194769,-514.0250381066205,1.3937300443649292,-2.6700706481933594
172,-55.315333151289416,73.0890600824254,-506.27703830319626,1.3937300443649292,-2.7100706100463867
173,-52.31028296135192,74.60311539808026,-498.52903808499116,1.3937300443649292,-2.750070571899414
